uuid,省,市,区县,网点名称,地址,开办业务,邮编,页面URL,抓取状态
1,安徽省,安庆市,怀宁县,秀山邮政所,怀宁县秀山乡栏坝街道,信件、印刷品、包裹、邮政汇兑、报刊订阅,246122,https://zwfw.spb.gov.cn/gjj/pfyycsml/pfyycsmlDetail?uuid=1,OK
2,安徽省,安庆市,怀宁县,雷埠邮政所,怀宁县雷埠乡集镇区212线东侧,信件、印刷品、包裹、邮政汇兑、报刊订阅,246199,https://zwfw.spb.gov.cn/gjj/pfyycsml/pfyycsmlDetail?uuid=2,OK
3,安徽省,安庆市,怀宁县,稼先路邮政支局,怀宁县稼先路194号,信件、印刷品、包裹、邮政汇兑、国际业务、港澳台业务、报刊订阅,246121,https://zwfw.spb.gov.cn/gjj/pfyycsml/pfyycsmlDetail?uuid=3,OK
4,安徽省,安庆市,怀宁县,高河邮政所,怀宁县高河镇高河大道319号,信件、印刷品、包裹、邮政汇兑、报刊订阅,246121,https://zwfw.spb.gov.cn/gjj/pfyycsml/pfyycsmlDetail?uuid=4,OK
5,安徽省,安庆市,怀宁县,三祝邮政所,怀宁县公岭镇五岭街道,信件、印刷品、包裹、邮政汇兑、国际业务、报刊订阅,246125,https://zwfw.spb.gov.cn/gjj/pfyycsml/pfyycsmlDetail?uuid=5,OK
6,安徽省,安庆市,太湖县,新城邮政支局,太湖县晋熙镇建设路17号,信件、印刷品、包裹、邮政汇兑、国际业务、港澳台业务、报刊订阅,246400,https://zwfw.spb.gov.cn/gjj/pfyycsml/pfyycsmlDetail?uuid=6,OK
7,安徽省,安庆市,太湖县,富强路邮政所,太湖县晋熙镇晋湖路396号,信件、印刷品、包裹、邮政汇兑、报刊订阅,246400,https://zwfw.spb.gov.cn/gjj/pfyycsml/pfyycsmlDetail?uuid=7,OK
8,安徽省,安庆市,太湖县,城西邮政所,太湖县城西乡凉亭村马路河口,信件、印刷品、包裹、邮政汇兑、报刊订阅,246415,https://zwfw.spb.gov.cn/gjj/pfyycsml/pfyycsmlDetail?uuid=8,OK
9,安徽省,安庆市,桐城市,广场邮政所,桐城市文昌办事处龙眠西路2号,信件、印刷品、包裹、邮政汇兑、国际业务、港澳台业务、报刊订阅,231403,https://zwfw.spb.gov.cn/gjj/pfyycsml/pfyycsmlDetail?uuid=9,OK
10,,,,,北京市西城区北礼士路甲8号,,,https://zwfw.spb.gov.cn/gjj/pfyycsml/pfyycsmlDetail?uuid=10,OK
11,安徽省,安庆市,桐城市,南演邮政所,桐城市盛唐中路2号,信件、印刷品、包裹、邮政汇兑、报刊订阅,231402,https://zwfw.spb.gov.cn/gjj/pfyycsml/pfyycsmlDetail?uuid=11,OK
12,安徽省,安庆市,桐城市,太平邮政所,桐城市同安北路265号,信件、印刷品、包裹、邮政汇兑、报刊订阅,231402,https://zwfw.spb.gov.cn/gjj/pfyycsml/pfyycsmlDetail?uuid=12,OK
13,安徽省,安庆市,桐城市,文昌邮政所,桐城市同安南路22号,信件、印刷品、包裹、邮政汇兑、报刊订阅,231404,https://zwfw.spb.gov.cn/gjj/pfyycsml/pfyycsmlDetail?uuid=13,OK
14,安徽省,安庆市,桐城市,高桥邮政支局,桐城市龙腾街道坊正村刘庄队,信件、印刷品、包裹、邮政汇兑、报刊订阅,231431,https://zwfw.spb.gov.cn/gjj/pfyycsml/pfyycsmlDetail?uuid=14,OK
15,安徽省,安庆市,桐城市,香铺邮政所,桐城市金神镇香铺街,信件、印刷品、包裹、邮政汇兑、报刊订阅,231442,https://zwfw.spb.gov.cn/gjj/pfyycsml/pfyycsmlDetail?uuid=15,OK
16,安徽省,安庆市,桐城市,挂车河邮政所,桐城市范岗镇挂车河街道,信件、印刷品、包裹、邮政汇兑、报刊订阅,231461,https://zwfw.spb.gov.cn/gjj/pfyycsml/pfyycsmlDetail?uuid=16,OK
17,安徽省,安庆市,桐城市,老梅邮政支局,桐城市新渡镇杨桥路,信件、印刷品、包裹、邮政汇兑、报刊订阅,231462,https://zwfw.spb.gov.cn/gjj/pfyycsml/pfyycsmlDetail?uuid=17,OK
18,,,,,北京市西城区北礼士路甲8号,,,https://zwfw.spb.gov.cn/gjj/pfyycsml/pfyycsmlDetail?uuid=18,OK
19,安徽省,安庆市,宿松县,龙井路邮政支局,宿松县东北新城未来中心商铺7幢1-6室,信件、印刷品、包裹、邮政汇兑、报刊订阅,246501,https://zwfw.spb.gov.cn/gjj/pfyycsml/pfyycsmlDetail?uuid=19,OK
20,安徽省,安庆市,宿松县,城关邮政支局,宿松县孚玉镇人民路117号,信件、印刷品、包裹、邮政汇兑、国际业务、港澳台业务、报刊订阅,246501,https://zwfw.spb.gov.cn/gjj/pfyycsml/pfyycsmlDetail?uuid=20,OK
21,安徽省,安庆市,宿松县,孚玉路邮政支局,宿松县孚玉镇孚玉西路与龙门路交叉口处,信件、印刷品、包裹、邮政汇兑、国际业务、港澳台业务、报刊订阅,246506,https://zwfw.spb.gov.cn/gjj/pfyycsml/pfyycsmlDetail?uuid=21,OK
22,安徽省,安庆市,宿松县,五里邮政所,宿松县五里乡五里街农技站,信件、印刷品、包裹、邮政汇兑、港澳台业务、报刊订阅,246501,https://zwfw.spb.gov.cn/gjj/pfyycsml/pfyycsmlDetail?uuid=22,OK
23,安徽省,安庆市,宿松县,程岭邮政所,宿松县程岭乡办公楼门面房,信件、印刷品、包裹、邮政汇兑、港澳台业务、报刊订阅,246521,https://zwfw.spb.gov.cn/gjj/pfyycsml/pfyycsmlDetail?uuid=23,OK
24,安徽省,安庆市,宿松县,九姑邮政所,宿松县九姑乡东街,信件、印刷品、包裹、邮政汇兑、港澳台业务、报刊订阅,246525,https://zwfw.spb.gov.cn/gjj/pfyycsml/pfyycsmlDetail?uuid=24,OK
25,安徽省,安庆市,宿松县,柳坪邮政所,宿松县柳坪乡大坂村（政府旁边）,信件、印刷品、包裹、邮政汇兑、港澳台业务、报刊订阅,246513,https://zwfw.spb.gov.cn/gjj/pfyycsml/pfyycsmlDetail?uuid=25,OK
26,安徽省,安庆市,宿松县,北浴邮政所,宿松县北浴乡新街,信件、印刷品、包裹、邮政汇兑、港澳台业务、报刊订阅,246514,https://zwfw.spb.gov.cn/gjj/pfyycsml/pfyycsmlDetail?uuid=26,OK
27,安徽省,安庆市,宿松县,隘口邮政所,宿松县隘口乡新镇路,信件、印刷品、包裹、邮政汇兑、港澳台业务、报刊订阅,246514,https://zwfw.spb.gov.cn/gjj/pfyycsml/pfyycsmlDetail?uuid=27,OK
28,安徽省,安庆市,宿松县,趾凤邮政所,宿松县趾凤乡政府内,信件、印刷品、包裹、邮政汇兑、港澳台业务、报刊订阅,246512,https://zwfw.spb.gov.cn/gjj/pfyycsml/pfyycsmlDetail?uuid=28,OK
29,安徽省,安庆市,岳西县,城西邮政所,岳西县天堂镇建设西路5-3号,信件、印刷品、包裹、邮政汇兑,246699,https://zwfw.spb.gov.cn/gjj/pfyycsml/pfyycsmlDetail?uuid=29,OK
30,安徽省,安庆市,岳西县,前进南路邮政所,岳西县天堂镇前进南路2号,信件、印刷品、包裹、邮政汇兑、国际业务、港澳台业务、报刊订阅,246699,https://zwfw.spb.gov.cn/gjj/pfyycsml/pfyycsmlDetail?uuid=30,OK
31,安徽省,安庆市,岳西县,南园邮政所,岳西县南园天际开发公司10号楼1楼,信件、印刷品、包裹、邮政汇兑,246699,https://zwfw.spb.gov.cn/gjj/pfyycsml/pfyycsmlDetail?uuid=31,OK
32,安徽省,安庆市,大观区,集贤路邮政所,安庆市大观区集贤南路218-2号,信件、印刷品、包裹、邮政汇兑、国际业务、港澳台业务、报刊订阅,246002,https://zwfw.spb.gov.cn/gjj/pfyycsml/pfyycsmlDetail?uuid=32,OK
33,安徽省,安庆市,大观区,市府路邮政所,安庆市大观区市府路7-4号,信件、印刷品、包裹、邮政汇兑、国际业务、港澳台业务、报刊订阅,246002,https://zwfw.spb.gov.cn/gjj/pfyycsml/pfyycsmlDetail?uuid=33,OK
34,安徽省,安庆市,大观区,纺织南路邮政所,安庆市大观区纺织南路47号,信件、印刷品、包裹、邮政汇兑、国际业务、港澳台业务、报刊订阅,246002,https://zwfw.spb.gov.cn/gjj/pfyycsml/pfyycsmlDetail?uuid=34,OK
35,安徽省,安庆市,大观区,四方城邮政所,安庆市大观区孝肃路244号,信件、印刷品、包裹、邮政汇兑、国际业务、港澳台业务、报刊订阅,246004,https://zwfw.spb.gov.cn/gjj/pfyycsml/pfyycsmlDetail?uuid=35,OK
36,安徽省,安庆市,迎江区,人民路邮政支局,安庆市迎江区人民路557号,信件、印刷品、包裹、邮政汇兑、国际业务、港澳台业务、报刊订阅,246003,https://zwfw.spb.gov.cn/gjj/pfyycsml/pfyycsmlDetail?uuid=36,OK
37,安徽省,安庆市,迎江区,人民东路邮政所,安庆市迎江区人民路迎江府10栋1层11室,信件、印刷品、包裹、邮政汇兑、国际业务、港澳台业务、报刊订阅,246003,https://zwfw.spb.gov.cn/gjj/pfyycsml/pfyycsmlDetail?uuid=37,OK
38,安徽省,安庆市,宜秀区,华中东路邮政所,安庆市华中东路东安花园7栋2-3号门面,信件、印刷品、包裹、邮政汇兑、国际业务、港澳台业务、报刊订阅,246003,https://zwfw.spb.gov.cn/gjj/pfyycsml/pfyycsmlDetail?uuid=38,OK
39,安徽省,安庆市,迎江区,墨子巷邮政所,安徽省安庆市迎江区墨子巷62号,信件、印刷品、包裹、邮政汇兑、国际业务、港澳台业务、报刊订阅,246003,https://zwfw.spb.gov.cn/gjj/pfyycsml/pfyycsmlDetail?uuid=39,OK
40,安徽省,安庆市,大观区,柏子桥邮政所,安庆市大观区龙山路279号,信件、印刷品、包裹、邮政汇兑、国际业务、港澳台业务、报刊订阅,246004,https://zwfw.spb.gov.cn/gjj/pfyycsml/pfyycsmlDetail?uuid=40,OK
41,安徽省,安庆市,宜秀区,第六邮政所,安庆市宜秀区机场路（拥军公交站）,信件、印刷品、包裹、邮政汇兑、报刊订阅,246001,https://zwfw.spb.gov.cn/gjj/pfyycsml/pfyycsmlDetail?uuid=41,OK
42,安徽省,安庆市,迎江区,政务新区邮政所,安庆市政务服务中心,信件、印刷品、包裹、邮政汇兑、报刊订阅,246003,https://zwfw.spb.gov.cn/gjj/pfyycsml/pfyycsmlDetail?uuid=42,OK
43,安徽省,安庆市,大观区,山口邮政所,安庆市山口乡百子山村,信件、印刷品、包裹、邮政汇兑,246005,https://zwfw.spb.gov.cn/gjj/pfyycsml/pfyycsmlDetail?uuid=43,OK
44,,,,,北京市西城区北礼士路甲8号,,,https://zwfw.spb.gov.cn/gjj/pfyycsml/pfyycsmlDetail?uuid=44,OK
45,安徽省,安庆市,大观区,玉琳路邮政所,安庆市玉琳路185号,信件、印刷品、包裹、邮政汇兑、报刊订阅,246004,https://zwfw.spb.gov.cn/gjj/pfyycsml/pfyycsmlDetail?uuid=45,OK
46,安徽省,安庆市,宜秀区,七街邮政所,安庆市大桥开发区七街C6地块7栋101-103号,信件、印刷品、包裹、邮政汇兑,246005,https://zwfw.spb.gov.cn/gjj/pfyycsml/pfyycsmlDetail?uuid=46,OK
47,,,,,北京市西城区北礼士路甲8号,,,https://zwfw.spb.gov.cn/gjj/pfyycsml/pfyycsmlDetail?uuid=47,OK
48,安徽省,蚌埠市,固镇县,浍河路邮政支局,安徽省蚌埠市固镇县谷阳路实验中学斜对面,信件、印刷品、包裹、邮政汇兑、国际业务、港澳台业务、报刊订阅,233700,https://zwfw.spb.gov.cn/gjj/pfyycsml/pfyycsmlDetail?uuid=48,OK
49,安徽省,蚌埠市,固镇县,董庙邮政所,安徽省蚌埠市固镇县董庙街,信件、印刷品、包裹、邮政汇兑、报刊订阅,233709,https://zwfw.spb.gov.cn/gjj/pfyycsml/pfyycsmlDetail?uuid=49,OK
50,安徽省,蚌埠市,固镇县,农干校邮政所,安徽省蚌埠市固镇县干校惠农大道,信件、印刷品、包裹、邮政汇兑、报刊订阅,233719,https://zwfw.spb.gov.cn/gjj/pfyycsml/pfyycsmlDetail?uuid=50,OK
51,安徽省,蚌埠市,怀远县,文昌街邮政支局,安徽省蚌埠市怀远县文昌商贸步行街,信件、印刷品、包裹、邮政汇兑、报刊订阅,233499,https://zwfw.spb.gov.cn/gjj/pfyycsml/pfyycsmlDetail?uuid=51,OK
52,安徽省,蚌埠市,怀远县,禹王路邮政支局,安徽省蚌埠市怀远县禹王路585号,信件、印刷品、包裹、邮政汇兑、国际业务、港澳台业务、报刊订阅,233400,https://zwfw.spb.gov.cn/gjj/pfyycsml/pfyycsmlDetail?uuid=52,OK
53,安徽省,蚌埠市,怀远县,南大街邮政支局,安徽省蚌埠市怀远县健康东路333号东方红商住小区二期4-2号楼S116,信件、印刷品、包裹、邮政汇兑、报刊订阅,233499,https://zwfw.spb.gov.cn/gjj/pfyycsml/pfyycsmlDetail?uuid=53,OK
54,安徽省,蚌埠市,怀远县,新城区邮政支局,安徽省蚌埠市怀远县三桥北口,信件、印刷品、包裹、邮政汇兑、报刊订阅,233499,https://zwfw.spb.gov.cn/gjj/pfyycsml/pfyycsmlDetail?uuid=54,OK
55,安徽省,蚌埠市,怀远县,城西邮政支局,安徽省蚌埠市怀远县老西门农贸市场内,信件、印刷品、包裹、邮政汇兑、报刊订阅,233499,https://zwfw.spb.gov.cn/gjj/pfyycsml/pfyycsmlDetail?uuid=55,OK
56,安徽省,蚌埠市,怀远县,荆芡邮政所,安徽省蚌埠市怀远县荆山镇城西村307省道南上谷农产品批发市场27号楼第S118号,信件、印刷品、包裹、邮政汇兑、报刊订阅,233499,https://zwfw.spb.gov.cn/gjj/pfyycsml/pfyycsmlDetail?uuid=56,OK
57,安徽省,蚌埠市,五河县,浍河路邮政支局,安徽省蚌埠市五河县浍河路62号,信件、印刷品、包裹、邮政汇兑、国际业务、港澳台业务、报刊订阅,233300,https://zwfw.spb.gov.cn/gjj/pfyycsml/pfyycsmlDetail?uuid=57,OK
58,安徽省,蚌埠市,五河县,城里邮政支局,安徽省蚌埠市五河县浍河路西段,信件、印刷品、包裹、邮政汇兑、报刊订阅,233399,https://zwfw.spb.gov.cn/gjj/pfyycsml/pfyycsmlDetail?uuid=58,OK
59,安徽省,蚌埠市,五河县,临北邮政所,安徽省蚌埠市五河县临北回族乡财政服务中心西50米,信件、印刷品、包裹、邮政汇兑,233315,https://zwfw.spb.gov.cn/gjj/pfyycsml/pfyycsmlDetail?uuid=59,OK
60,安徽省,蚌埠市,五河县,沱湖邮政所,安徽省蚌埠市五河县沱湖乡沱湖街,信件、印刷品、包裹、邮政汇兑,233399,https://zwfw.spb.gov.cn/gjj/pfyycsml/pfyycsmlDetail?uuid=60,OK
61,安徽省,蚌埠市,龙子湖区,车站邮政支局,安徽省蚌埠市龙子湖区火车站5号区A楼层,信件、印刷品、包裹、邮政汇兑、国际业务、港澳台业务、报刊订阅,233099,https://zwfw.spb.gov.cn/gjj/pfyycsml/pfyycsmlDetail?uuid=61,OK
62,安徽省,蚌埠市,蚌山区,淮河路邮政支局,安徽省蚌埠市蚌山区淮河路988号,信件、印刷品、包裹、邮政汇兑、国际业务、港澳台业务,233099,https://zwfw.spb.gov.cn/gjj/pfyycsml/pfyycsmlDetail?uuid=62,OK
63,,,,,北京市西城区北礼士路甲8号,,,https://zwfw.spb.gov.cn/gjj/pfyycsml/pfyycsmlDetail?uuid=63,OK
64,安徽省,蚌埠市,龙子湖区,交通邮政所,安徽省蚌埠市龙子湖区交通路139号,信件、印刷品、包裹、邮政汇兑、报刊订阅,233004,https://zwfw.spb.gov.cn/gjj/pfyycsml/pfyycsmlDetail?uuid=64,OK
65,安徽省,蚌埠市,龙子湖区,延安邮政所,安徽省蚌埠市蚌山区延安路北段,信件、印刷品、包裹、邮政汇兑、国际业务、港澳台业务、报刊订阅,233099,https://zwfw.spb.gov.cn/gjj/pfyycsml/pfyycsmlDetail?uuid=65,OK
66,安徽省,蚌埠市,蚌山区,前进邮政所,安徽省蚌埠市蚌山区前进路145号,信件、印刷品、包裹、邮政汇兑、国际业务,233099,https://zwfw.spb.gov.cn/gjj/pfyycsml/pfyycsmlDetail?uuid=66,OK
67,安徽省,蚌埠市,蚌山区,胜利邮政支局,安徽省蚌埠市蚌山区胜利中路58号,信件、印刷品、包裹、邮政汇兑、国际业务、港澳台业务,233099,https://zwfw.spb.gov.cn/gjj/pfyycsml/pfyycsmlDetail?uuid=67,OK
68,安徽省,蚌埠市,蚌山区,爱国邮政所,安徽省蚌埠市蚌山区胜利东路1412号,信件、印刷品、包裹、邮政汇兑、报刊订阅,233099,https://zwfw.spb.gov.cn/gjj/pfyycsml/pfyycsmlDetail?uuid=68,OK
69,安徽省,蚌埠市,淮上区,吴小街邮政所,丰泰路465号,信件、印刷品、包裹、邮政汇兑,233020,https://zwfw.spb.gov.cn/gjj/pfyycsml/pfyycsmlDetail?uuid=69,OK
70,安徽省,蚌埠市,禹会区,长征路邮政支局,安徽省蚌埠市禹会区长征路491号,信件、印刷品、包裹、邮政汇兑、国际业务、港澳台业务,233010,https://zwfw.spb.gov.cn/gjj/pfyycsml/pfyycsmlDetail?uuid=70,OK
71,安徽省,蚌埠市,禹会区,张公山邮政所,蚌埠 市 禹会区瑞城小区12-17（B区一层）号楼1单元1-9、1-21号,信件、印刷品、包裹、邮政汇兑,233010,https://zwfw.spb.gov.cn/gjj/pfyycsml/pfyycsmlDetail?uuid=71,OK
72,安徽省,蚌埠市,禹会区,大庆邮政所,安徽省蚌埠市禹会区大庆三路384号,信件、印刷品、包裹、邮政汇兑,233099,https://zwfw.spb.gov.cn/gjj/pfyycsml/pfyycsmlDetail?uuid=72,OK
73,,,,,北京市西城区北礼士路甲8号,,,https://zwfw.spb.gov.cn/gjj/pfyycsml/pfyycsmlDetail?uuid=73,OK
74,安徽省,蚌埠市,淮上区,小蚌埠邮政所,安徽省蚌埠市淮上区淮安路17号,信件、印刷品、包裹、邮政汇兑,233020,https://zwfw.spb.gov.cn/gjj/pfyycsml/pfyycsmlDetail?uuid=74,OK
75,安徽省,蚌埠市,蚌山区,龙湖邮政所,安徽省蚌埠市蚌山区永业路162号,信件、印刷品、包裹、邮政汇兑,233040,https://zwfw.spb.gov.cn/gjj/pfyycsml/pfyycsmlDetail?uuid=75,OK
76,安徽省,蚌埠市,龙子湖区,长淮卫邮政所,安徽省蚌埠市淮上区长淮卫镇,信件、印刷品、包裹、邮政汇兑,233070,https://zwfw.spb.gov.cn/gjj/pfyycsml/pfyycsmlDetail?uuid=76,OK
77,安徽省,蚌埠市,龙子湖区,财大邮政所,安徽省蚌埠市海亮明珠花园商业8号楼1层17、18、19、20门面房,信件、印刷品、包裹、邮政汇兑、国际业务、港澳台业务,233030,https://zwfw.spb.gov.cn/gjj/pfyycsml/pfyycsmlDetail?uuid=77,OK
78,安徽省,蚌埠市,龙子湖区,李楼邮政所,安徽省蚌埠市龙子湖区李楼乡李楼村老村部1楼东边2间,信件、印刷品、包裹、邮政汇兑、报刊订阅,233030,https://zwfw.spb.gov.cn/gjj/pfyycsml/pfyycsmlDetail?uuid=78,OK
79,安徽省,蚌埠市,蚌山区,迎湖邮政所,安徽省蚌埠市蚌山区迎湖路63号,信件、印刷品、包裹、邮政汇兑、国际业务、港澳台业务、报刊订阅,233040,https://zwfw.spb.gov.cn/gjj/pfyycsml/pfyycsmlDetail?uuid=79,OK
80,安徽省,蚌埠市,蚌山区,雪华邮政所,安徽省蚌埠市蚌山区雪华路295号,信件、印刷品、包裹、邮政汇兑、报刊订阅,233040,https://zwfw.spb.gov.cn/gjj/pfyycsml/pfyycsmlDetail?uuid=80,OK
81,安徽省,蚌埠市,蚌山区,陶店邮政所,安徽省蚌埠市燕山路1062号（解放军123医院西侧）,信件、印刷品、包裹、邮政汇兑,233010,https://zwfw.spb.gov.cn/gjj/pfyycsml/pfyycsmlDetail?uuid=81,OK
82,,,,,北京市西城区北礼士路甲8号,,,https://zwfw.spb.gov.cn/gjj/pfyycsml/pfyycsmlDetail?uuid=82,OK
83,安徽省,蚌埠市,龙子湖区,解放路邮政支局,安徽省蚌埠市龙子湖区解放路与新淮路交叉口南50米,信件、印刷品、包裹、邮政汇兑、国际业务、港澳台业务、报刊订阅,233060,https://zwfw.spb.gov.cn/gjj/pfyycsml/pfyycsmlDetail?uuid=83,OK
