uuid,省,市,区县,网点名称,地址,开办业务,邮编,页面URL,抓取状态
50000,浙江省,金华市,金东区,金华市曹宅邮政支局,金华市金东区曹宅镇双河路138号,信件、印刷品、包裹、邮政汇兑、报刊订阅,321031,https://zwfw.spb.gov.cn/gjj/pfyycsml/pfyycsmlDetail?uuid=50000,OK
50001,浙江省,金华市,金东区,金华市塘雅邮政所,金华市金东区塘雅镇塘一村,信件、印刷品、包裹、邮政汇兑、报刊订阅,321032,https://zwfw.spb.gov.cn/gjj/pfyycsml/pfyycsmlDetail?uuid=50001,OK
50002,浙江省,金华市,金东区,金华市含香邮政所,金华市金东区塘雅镇含香村金义东路100号,信件、印刷品、包裹、邮政汇兑、报刊订阅,321032,https://zwfw.spb.gov.cn/gjj/pfyycsml/pfyycsmlDetail?uuid=50002,OK
50003,浙江省,金华市,金东区,金华市孝顺邮政支局,金华市金东区孝顺镇金山大道聚鑫商城,信件、印刷品、包裹、邮政汇兑、报刊订阅,321035,https://zwfw.spb.gov.cn/gjj/pfyycsml/pfyycsmlDetail?uuid=50003,OK
50004,浙江省,金华市,金东区,金华市鞋塘邮政支局,金华市金东区鞋塘镇金钟路36号,信件、印刷品、包裹、邮政汇兑、报刊订阅,321036,https://zwfw.spb.gov.cn/gjj/pfyycsml/pfyycsmlDetail?uuid=50004,OK
50005,浙江省,金华市,金东区,金华市傅村邮政支局,金华市金东区傅村镇清坊街1号,信件、印刷品、包裹、邮政汇兑、报刊订阅,321037,https://zwfw.spb.gov.cn/gjj/pfyycsml/pfyycsmlDetail?uuid=50005,OK
50006,浙江省,金华市,金东区,金华市澧浦邮政支局,金华市金东区澧浦镇和谐南街149号,信件、印刷品、包裹、邮政汇兑、报刊订阅,321041,https://zwfw.spb.gov.cn/gjj/pfyycsml/pfyycsmlDetail?uuid=50006,OK
50007,浙江省,金华市,金东区,金华市岭下朱邮政所,金华市金东区岭下朱镇岭四村文昌街,信件、印刷品、包裹、邮政汇兑、报刊订阅,321042,https://zwfw.spb.gov.cn/gjj/pfyycsml/pfyycsmlDetail?uuid=50007,OK
50008,浙江省,金华市,金东区,金华市江东邮政所,浙江省金华市金东区江东镇横店村与上王村村口,信件、印刷品、包裹、邮政汇兑、报刊订阅,321042,https://zwfw.spb.gov.cn/gjj/pfyycsml/pfyycsmlDetail?uuid=50008,OK
50009,浙江省,金华市,婺城区,金华市雅畈邮政支局,金华市婺城区雅畈镇雅兴路73号,信件、印刷品、包裹、邮政汇兑、报刊订阅,321051,https://zwfw.spb.gov.cn/gjj/pfyycsml/pfyycsmlDetail?uuid=50009,OK
50010,浙江省,金华市,婺城区,金华市安地邮政所,金华市婺城区安地镇邮电街1-2号,信件、印刷品、包裹、邮政汇兑、报刊订阅,321052,https://zwfw.spb.gov.cn/gjj/pfyycsml/pfyycsmlDetail?uuid=50010,OK
50011,浙江省,金华市,婺城区,金华市箬阳邮政所,金华市婺城区箬阳乡政府门口,信件、印刷品、包裹、邮政汇兑、报刊订阅,321052,https://zwfw.spb.gov.cn/gjj/pfyycsml/pfyycsmlDetail?uuid=50011,OK
50012,浙江省,金华市,婺城区,金华市琅琊邮政支局,金华市婺城区琅琊镇新华街1号,信件、印刷品、包裹、邮政汇兑、报刊订阅,321061,https://zwfw.spb.gov.cn/gjj/pfyycsml/pfyycsmlDetail?uuid=50012,OK
50013,浙江省,金华市,婺城区,金华市沙畈邮政所,金华市婺城区沙畈乡周村,信件、印刷品、包裹、邮政汇兑、报刊订阅,321061,https://zwfw.spb.gov.cn/gjj/pfyycsml/pfyycsmlDetail?uuid=50013,OK
50014,浙江省,金华市,婺城区,金华市蒋堂邮政支局,金华市婺城区蒋堂镇八一北街8号,信件、印刷品、包裹、邮政汇兑、报刊订阅,321071,https://zwfw.spb.gov.cn/gjj/pfyycsml/pfyycsmlDetail?uuid=50014,OK
50015,浙江省,金华市,婺城区,金华市汤溪邮政支局,金华市婺城区汤溪镇仙舟大街31号,信件、印刷品、包裹、邮政汇兑、报刊订阅,321075,https://zwfw.spb.gov.cn/gjj/pfyycsml/pfyycsmlDetail?uuid=50015,OK
50016,浙江省,金华市,婺城区,金华市莘畈邮政所,金华市婺城区莘畈乡祝村,信件、印刷品、包裹、邮政汇兑、报刊订阅,321075,https://zwfw.spb.gov.cn/gjj/pfyycsml/pfyycsmlDetail?uuid=50016,OK
50017,浙江省,金华市,婺城区,金华市塔石邮政所,金华市婺城区塔石乡下塔石村,信件、印刷品、包裹、邮政汇兑、报刊订阅,321075,https://zwfw.spb.gov.cn/gjj/pfyycsml/pfyycsmlDetail?uuid=50017,OK
50018,浙江省,金华市,婺城区,金华市罗埠邮政支局,金华市婺城区罗埠镇商贸街18号,信件、印刷品、包裹、邮政汇兑、报刊订阅,321081,https://zwfw.spb.gov.cn/gjj/pfyycsml/pfyycsmlDetail?uuid=50018,OK
